PopularWords,Afrikaans,Albanian,Amharic,Arabic,Armenian,Azerbaijani,Basque,Belarusian,Bengali,Bosnian,Bulgarian,Catalan,Cebuano,Chichewa,Chinese Simplified,Chinese Traditional,Corsican,Croatian,Czech,Danish,Dutch,Esperanto,Estonian,Filipino,Finnish,French,Frisian,Galician,Georgian,German,Greek,Gujarati,Haitian Creole,Hausa,Hawaiian,Hebrew,Hindi,Hmong,Hungarian,Icelandic,Igbo,Indonesian,Irish,Italian,Japanese,Javanese,Kannada,Kazakh,Khmer,Kinyarwanda,Korean,Kurdish (Kurmanji),Kyrgyz,Lao,Latin,Latvian,Lithuanian,Luxembourgish,Macedonian,Malagasy,Malay,Malayalam,Maltese,Maori,Marathi,Mongolian,Myanmar (Burmese),Nepali,Norwegian,Odia,Pashto,Persian,Polish,Portuguese,Punjabi,Romanian,Russian,Samoan,Scots Gaelic,Serbian,Sesotho,Shona,Sindhi,Sinhala,Slovak,Slovenian,Somali,Spanish,Sundanese,Swahili,Swedish,Tajik,Tamil,Tatar,Telugu,Thai,Turkish,Turkmen,Ukrainian,Urdu,Uyghur,Uzbek,Vietnamese,Welsh,Xhosa,Yiddish,Yoruba,Zulu
beautiful,pragtige,e bukur,ቆንጆ,جميلة,գեղեցիկ,gözəl,eder,прыгожы,সুন্দর,lijep,красив,bonic,matahum nga,kukongola,美丽,美麗,bellu,lijep,Krásná,smuk,mooi,bela,ilus,maganda,kaunis,beau,moai,fermoso,ლამაზი,schön,πανεμορφη,સુંદર,bèl,kyau,uʻi,יפה,सुंदर,zoo nkauj,szép,falleg,mara mma,indah,go hálainn,bellissimo,綺麗な,ayu,ಸುಂದರ,әдемі,ស្រស់ស្អាត,mwiza,아름다운,bedew,сулуу,ງາມ,pulchram,skaists,gražus,schéin,прекрасна,tsara tarehy,indah,മനോഹരമായ,sbieħ,ataahua,सुंदर,сайхан,လှသောအဆင်း,सुन्दर,vakker,ସୁନ୍ଦର,ښکلی,خوشگل,piękny,bonita,ਸੁੰਦਰ,frumoasa,красивая,aulelei,bòidheach,Лепа,ntle,runako,خوبصورت,ලස්සන,krásny,lepa,qurux badan,hermosa,geulis,nzuri,vacker,зебо,அழகான,матур,అందమైన,สวย,güzel,owadan,гарний,خوبصورت,چىرايلىق,chiroyli,đẹp,hardd,entle,שיין,lẹwa,enhle
black,swart,e zezë,ጥቁር,أسود,Սեվ,qara,beltza,чорны,কালো,crn,черно,negre,itom,wakuda,黑色,黑色,neru,crno,Černá,sort,zwart,nigra,must,itim,musta,noir,Swart,negro,შავი,schwarz,μαύρος,કાળા,nwa,baki,eleʻele,שָׁחוֹר,काली,dub,fekete,Svartur,black,hitam,dubh,nero,黒,ireng,ಕಪ್ಪು,қара,ខ្មៅ,umukara,검은,reş,Кара,ສີດໍາ,nigrum,melns,juodas,schwaarz,црна,mainty,hitam,കറുത്ത,iswed,pango,काळा,хар,အနက်ရောင်,कालो,svart,କଳା,تور,سیاه,czarny,Preto,ਕਾਲਾ,negru,черный,lanu uliuli,Dubh,црн,ba batsho,nhema,ڪارو,කලු,čierna,črna,madow,negro,hideung,nyeusi,svart,сиёҳ,கருப்பு,кара,బ్లాక్,สีดำ,siyah,gara,чорний,سیاہ,black,qora,đen,du,mnyama,שוואַרץ,dudu,black
blue,blou,blu,ሰማያዊ,أزرق,Կապույտ,mavi,urdinak,сіні,নীল,plava boja,син,blau,azul,buluu,蓝色,藍色,turchinu,plava,modrý,blå,blauw,blua,sinine,bughaw,sininen,bleu,blau,azul,ლურჯი,blau,μπλε,વાદળી,ble,blue,polū,כָּחוֹל,नीला,xiav,kék,Blár,acha anụnụ anụnụ,biru,gorm,blu,青,biru,ನೀಲಿ,көк,ខៀវ,ubururu,푸른,şîn,Көк,ສີນ້ໍາເງິນ,hyacinthum,zils,mėlynas,blo,сина,manga,biru,നീല,blu,puru,निळा,хөх,ပြာသော,नीलो,blå,ନୀଳ,آبي,آبی,niebieski,azul,ਨੀਲਾ,albastru,синий,lanu moaga,gorm,Плави,putsoa,bhuruu,نيرو,නිල්,Modrá,blue,buluug,azul,biru,bluu,blå,кабуд,நீல,зәңгәр,నీలం,สีน้ำเงิน,mavi,gök,синій,نیلے,كۆك,ko'k,màu xanh da trời,glas,luhlaza,בלוי,blue,blue
cat,kat,Mace,ድመት,قط,կատու,pişik,katu,кот,বিড়াল,mačka,котка,gat,iring,mphaka,猫,貓,cat,mačka,kočka,kat,kat,kato,kass,pusa,kissa,chat,kat,gato,კატა,Katze,Γάτα,બિલાડી,chat,cat,pōpoki,חתול,बिल्ली,miv,cica,Köttur,cat,kucing,cat,gatto,ネコ,kucing,ಬೆಕ್ಕು,мысық,ឆ្មា,injangwe,고양이,pisîk,мышык,cat,feles,kaķis,katė,Kaz,мачка,saka,kucing,പൂച്ച,qattus,ngeru,मांजर,муур,ကွောငျ,बिरालो,katt,ବିଲେଇ,پيشو,گربه,kot,gato,ਬਿੱਲੀ,pisică,Кот,pusi,cat,мачка,katse,katsi,ٻلي,බළලා,mačka,mačka,cat,gato,ucing,paka,katt,гурба,பூனை,мәче,పిల్లి,แมว,kedi,pişik,кіт,بلی,مۈشۈك,mushuk,con mèo,cath,ikati,קאַץ,o nran,cat
dog,hond,qen,ውሻ,الكلب,շուն,it,txakur,сабака,কুকুর,pas,куче,gos,iro,galu,狗,狗,cane,pas,Pes,hund,hond,hundo,koer,aso,koira,chien,hûn,can,ძაღლი,Hund,σκύλος,કૂતરો,chen,kare,ʻīlio,כֶּלֶב,कुत्ता,aub,kutya,Hundur,nkịta,anjing,madra,cane,犬,asu,ನಾಯಿ,ит,សត្វឆ្កែ,imbwa,개,se,ит,ຫມາ,canis,suns,šuo,Hond,куче,alika,anjing,നായ്,kelb,kuri,कुत्रा,нохой,ခှေး,कुकुर,hund,କୁକୁର,سپی,سگ,pies,cachorro,ਕੁੱਤਾ,câine,собака,maile,cù,пас,ntja,imbwa,ڪُتو,බල්ලා,pes,pes,eyga,perro,anjing,mbwa,hund,саг,நாய்,эт,కుక్క,หมา,köpek,it,пес,کتا,ئىت,it,chó,ci,inja,הונט,aja,inja
family,gesin,familje,ቤተሰብ,أسرة,ընտանիք,ailə,familia,сям'я,পরিবার,porodica,семейство,família,pamilya,banja,家庭,家庭,famiglia,obitelj,rodina,familie,familie,familio,pere,pamilya,perhe,famille,famylje,familia,ოჯახის,Familie,οικογένεια,કુટુંબ,fanmi,iyali,ohana,מִשׁפָּחָה,परिवार,tsev neeg,család,Fjölskylda,ezinụlọ,keluarga,teaghlaigh,famiglia,家族,kulawarga,ಕುಟುಂಬದ,отбасы,ក្រុមគ្រួសារ,umuryango,가족,malbat,үй-бүлө,ຄອບຄົວ,familia,ģimene,šeimos,Famill,семејство,family,keluarga,കുടുംബം,familja,whānau,कुटुंब,гэр бүл,မိသားစု,परिवार,familie,ପରିବାର,کورنۍ,خانواده,rodzina,família,ਪਰਿਵਾਰ,familie,семья,aiga,teaghlach,породица,lelapa,mhuri,خاندان,පවුලක්,rodina,družina,qoyska,familia,kulawarga,familia,familj,оила,குடும்ப,гаилә,కుటుంబం,ครอบครัว,aile,maşgala,сім'я,خاندان,ئائىلە,oila,gia đình,teulu,usapho,מישפּאָכע,ebi,umndeni
father,pa,baba,አባት,الآب,հայր,ata,aita,бацька,পিতা,otac,баща,pare,amahan,bambo,父亲,父親,babbu,otac,otec,far,vader,patro,isa,ama,isä,père,heit,pai,მამა,Vater,πατέρας,પિતા,papa,uba,makuakāne,אַבָּא,पिता,txiv,apa,Faðir,nna,ayah,athair,padre,お父さん,rama,ತಂದೆ,әке,ឪពុក,se,아버지,bav,Ата,ພຣະບິດາ,pater,tēvs,tėvas,Papp,татко,ray,bapa,പിതാവ്,missier,papa,वडील,аав,ဖခင်,बुबा,far,ବାପା,پلار,پدر,ojciec,pai,ਪਿਤਾ,tată,отец,tama,athair,отац,ntate,baba,پيء,පියා,otec,oče,aabbahay,padre,bapa,baba,far,падар,அப்பா,әтисе,తండ్రి,พ่อ,baba,kakasy,батько,والد صاحب,دادىسى,ota,cha,tad,utata,טאַטע,baba,uyise
friend,vriend,mik,ጓደኛ,صديق,ընկեր,dost,Lagun,сябар,বন্ধু,prijatelj,приятел,amic,higala,bwenzi,朋友,朋友,amicu,prijatelj,přítel,ven,vriend,amiko,sõber,kaibigan,ystävä,ami,freon,amiga,მეგობარს,Freund,φίλος,મિત્ર,zanmi,aboki,hoa aloha,חָבֵר,दोस्त,phooj ywg,barát,Vinur,enyi,teman,cara,amico,友人,kanca,ಗೆಳತಿ,дос,មិត្តភក្តិ,inshuti,친구,heval,дос,ເພື່ອນ,amicus,draugs,draugas,Frënd,пријател,namana,rakan,സ്നേഹിതന്,ħabib,hoa,मित्र,найз,မိတျဆှေ,मित्र,venn,ସାଙ୍ଗ,ملګری,دوست,przyjaciel,amigos,ਦੋਸਤ,prieten,друг,uo,caraid,пријатељ,motsoalle,shamwari,دوست,මිතුරා,priateľ,prijatelj,saaxiib,amigo,sobat,rafiki,vän,дугона,நண்பன்,дус,స్నేహితుడు,เพื่อน,arkadaş,dost,друг,دوست,دوستى,do'st,người bạn,ffrind,umhlobo,פרייַנד,ore,umngane
husband,man,burri,ባል,الزوج,ամուսին,ər,senarra,муж,স্বামী,muž,съпруг,marit,bana,mwamuna,丈夫,丈夫,maritu,suprug,manžel,mand,man,edzo,abikaasa,asawa,aviomies,mari,man,home,ქმარი,Mann,σύζυγος,પતિ,mari,miji,kāne,בַּעַל,पति,tus txiv,férj,Eiginmaður,di,Suami,fear céile,marito,夫,bojomu,ಪತಿ,күйеу,ប្តី,umugabo,남편,mêr,күйөө,ຜົວ,virum,vīrs,vyras,Mann,сопруг,lehilahy,suami,ഭര്ത്താവ്,raġel,tane,नवरा,нөхөр нь,ခင်ပွန်း,पति,mann,ସ୍ୱାମୀ,میړه,شوهر,mąż,marido,ਪਤੀ,soț,муж,tane,cèile,супруг,monna,murume,مڙس,ස්වාමිපුරුෂයා,manžel,mož,ninkeeda,marido,carogé,mume,man,шавҳар,கணவர்,ир,భర్త,สามี,koca,adamsy,чоловік,شوہر,ئېرى,er,người chồng,gwr,umyeni,מאַן,ọkọ,umyeni
light,lig,dritë,ብርሃን,ضوء,թեթեւ,yüngül,argia,святло,আলো,svjetlo,светлина,llum,kahayag,kuwala,光,光,luce,svjetlo,světlo,lys,licht,lumo,valgus,liwanag,valo,lumière,ljocht,luz,მსუბუქი,Licht,φως,પ્રકાશ,limyè,haske,kukui,אוֹר,रोशनी,teeb,fény,Ljós,ìhè,cahaya,solas,leggero,光,cahya,ಬೆಳಕಿನ,жарық,ពន្លឺ,urumuri,빛,sivik,жарык,ແສງສະຫວ່າງ,lux,gaisma,šviesa,Liicht,светлина,fahazavana,cahaya,വെളിച്ചം,dawl,marama,प्रकाश,гэрэл,အလင်း,प्रकाश,lett,ଆଲୋକ,ر .ا,سبک,lekki,luz,ਰੋਸ਼ਨੀ,ușoară,свет,malamalama,aotrom,светло,khanya,chiedza,روشني,ආලෝකය,svetlo,svetloba,light,luz,cahaya,mwanga,ljus,сабук,ஒளி,яктылык,కాంతి,เบา,ışık,ýagtylyk,світло,روشنی,نۇر,yorug'lik,ánh sáng,golau,ukukhanya,ליכט,ina,ukukhanya
love,lief,dashuri,ፍቅር,حب,Սեր,sevgi,maite,каханне,ভালবাসা,ljubav,обичам,amor,nahigugma,ndimakukondani,爱,愛,amore,ljubav,milovat,elsker,liefde,love,armastus,pag-ibig,rakkaus,amour,leafde,amor,მიყვარს,Liebe,αγάπη,પ્રેમ,renmen,son,aloha,אהבה,मोहब्बत,hlub,szerelem,Ást,n'anya,cinta,grá,amore,愛,tresna,ಪ್ರೀತಿ,махаббат,ស្រឡាញ់,urukundo,애정,evîn,сүйүү,ຮັກ,diligitis,mīlestība,meilė,Léift,љубов,fitiavana,suka,സ്നേഹം,imħabba,aroha,प्रेम,хайртай,ချစ်ခြင်းမေတ္တာ,प्रेम,kjærlighet,ପ୍ରେମ,مينه,عشق,miłość,amor,ਪਿਆਰ,dragoste,любовь,alofa,ghaoil,љубав,rata,rudo,پيار,ආදරය,milovať,ljubezen,jeclahay,amor,bogoh,upendo,kärlek,дӯст доштан,அன்பு,мәхәббәт,ప్రేమ,ความรัก,Aşk,söýgi,любов,محبت,مۇھەببەت,sevgi,yêu,cariad,uthando,ליבע,ni ife,uthando
moon,maan,hënë,ጨረቃ,القمر,լուսին,ay,ilargia,месяц,চাঁদ,mjesec,луна,lluna,bulan,mwezi,月亮,月亮,luna,mjesec,měsíc,måne,maan,luno,Kuu,buwan,kuu,lune,moanne,lúa,მთვარე,Mond,φεγγάρι,ચંદ્ર,lalin,watã,mahina,ירח,चांद,hli,hold,Tungl,ọnwa,bulan,moon,Luna,月,rembulan,ಚಂದ್ರನ,ай,ព្រះ​ច័ន្ទ,ukwezi,달,hêv,ай,ເດືອນ,luna,mēness,mėnulis,Mound,месечината,volana,bulan,ചന്ദ്രൻ,qamar,marama,चंद्र,сар,လ,चन्द्र,måne,ଚନ୍ଦ୍ର,سپوږمۍ,ماه,księżyc,lua,ਚੰਦ,lună,Луна,masina,ghealach,месец,khoeli,mwedzi,چنڊ,සඳ,mesiac,luna,moon,Luna,bulan,mwezi,måne,моҳ,சந்திரன்,ай,చంద్రుడు,ดวงจันทร์,ay,Aý,місяць,چاند,ئاي,oy,mặt trăng,lleuad,inyanga,לעוואָנע,oṣupa,inyanga
mother,moeder,nënë,እናት,أم,մայր,ana,ama,маці,মা,majka,майка,mare,inahan,amayi,母亲,母親,mamma,majka,matka,mor,moeder,patrino,ema,ina,äiti,mère,mem,nai,დედა,Mutter,μητέρα,માતા,manman,uwar,makuahine,אִמָא,मां,niam,anya,Móðir,nne,ibu,Máthair,madre,母,ibu,ತಾಯಿ,ана,ម្តាយ,nyina,어머니,dê,эне,ແມ່,mater,māte,motina,Mamm,мајка,reny,ibu,അമ്മ,omm,whaea,आई,ээж,မိခင်,आमा,mor,ମା,مور,مادر,mama,mãe,ਮਾਂ,mamă,мама,tina,màthair,мајка,'mè,Amai,ماء,මව,matka,mati,hooyo,madre,indung,mama,mor,модар,தாய்,әни,తల్లి,แม่,anne,ejesi,мати,ماں,ئانا,Ona,mẹ,mam,umama,מוטער,iya,unina
my love,my liefde,Dashuria ime,ፍቅሬ,حبيبتى,Իմ սեր,my love,nire bihotza,маё каханне,আমার ভালবাসা,moja ljubav,моя любов,amor meu,ang akong gugma,wachikondi wanga,我的爱,我的愛,amore meiu,moja ljubav,moje láska,min elskede,mijn geliefde,mia amo,minu armastus,mahal ko,rakkaani,mon amour,myn leafde,meu amor,ჩემი სიყარული,meine Geliebte,αγάπη μου,મારા પ્રેમ,renmen m ',masoyina,kuʻu aloha,אהובי,मेरा प्यार,kuv hlub,szerelmem,Ástin mín,ịhụnanya m,cintaku,Mo grá,il mio amore,私の愛,tresnaku,ನನ್ನ ಒಲವೆ,менің махаббатым,សំណព្វ,urukundo rwanjye,내 사랑,Evîna min,Менин махабатым,ທີ່​ຮັກ,amica mea,mana mīlestība,Mano meilė,meng Léift,љубов моја,ry tiako,cinta saya,എന്റെ പ്രണയം,imħabba tiegħi,toku aroha,माझे प्रेम,миний хайр,ငါ့အချစ်,मेरो प्यार,min kjærlighet,ମୋ ପ୍ରେମ,زما مینه,عشق من,moja miłość,meu amor,ਮੇਰਾ ਪਿਆਰ,Iubirea mea,моя любовь,o loʻu alofa,mo ghaol,моја љубав,lerato la ka,mudiwa wangu,منهنجو پيار,මගේ ආදරය,moja láska,moja ljubezen,jacaylkayga,mi amor,kabogoh abdi,mpenzi wangu,min kärlek,азизи ман,என் காதல்,ярым,నా ప్రియతమా,ที่รัก,aşkım,meniň söýgim,моя любов,میری محبت,مېنىڭ مۇھەببىتىم,mening muhabbatim,tình yêu của tôi,fy nghariad,sthandwa,מיין ליב,ifẹ mi,Sthandwa sami
peace,vrede,paqe,ሰላም,سلام,խաղաղություն,sülh,bakea,свет,শান্তি,mir,мир,pau,kalinaw,mtendere,和平,和平,pace,mir,mír,fred,vrede,paco,rahu,kapayapaan,rauha,paix,frede,paz,მშვიდობა,Frieden,ειρήνη,શાંતિ,lapè,zaman lafiya,maluhia,שָׁלוֹם,शांति,kev sib haum xeeb,béke,Friður,udo,perdamaian,síocháin,pace,平和,tentrem,ಶಾಂತಿ,бейбітшілік,សន្តិភាព,amahoro,평화,aşîtî,тынчтык,ສັນຕິພາບ,pacem,miers,taika,Fridden,мир,fandriampahalemana,keamanan,സമാധാനം,paċi,te rongo,शांतता,амар амгалан,ငြိမ်းချမ်းရေး,शान्ति,fred,ଶାନ୍ତି,سوله,صلح,pokój,Paz,ਸ਼ਾਂਤੀ,pace,мир,filemu,sìth,мир,khotso,rugare,امن,සාම,mier,mir,nabadda,paz,katengtreman,amani,fred,сулҳ,சமாதானம்,тынычлык,శాంతి,ความสงบ,Barış,parahatçylyk,мир,امن,تىنچلىق,tinchlik,Hòa bình,heddwch,uxolo,שלום,alafia,ukuthula
red,rooi,i kuq,ቀይ,أحمر,կարմիր,qırmızı,gorria,чырвоны,লাল,crven,червен,vermell,pula nga,wofiira,红,紅,rossu,crvena,Červené,rød,rood,ruĝa,punane,pula,punainen,rouge,read,vermello,red,rot,το κόκκινο,લાલ,wouj,ja,ulaʻula,אָדוֹם,लाल,liab,piros,Rautt,red,merah,dearg,rosso,赤,abang,ಕೆಂಪು,қызыл,ក្រហម,umutuku,빨간,sor,Кызыл,ສີແດງ,red,sarkans,raudonas,Rout,црвена,mena,merah,ചുവന്ന,aħmar,whero,लाल,улаан,နီသော,रातो,rød,ନାଲି,سور,قرمز,czerwony,vermelho,ਲਾਲ,roșu,красный,lanu mumu,dearg,црвен,khubelu,tsvuku,ڳاڙهو,රතු,červená,rdeča,cas,rojo,beureum,nyekundu,röd,сурх,சிவப்பு,кызыл,ఎరుపు,สีแดง,kırmızı,gyzyl,червоний,سرخ,قىزىل,qizil,Đỏ,Coch,bomvu,רויט,pupa,obomvu
sorry,jammer,Më vjen keq,አዝናለሁ,معذرة,կներեք,üzr,Sentitzen,прабачце,দুঃখিত,izvini,съжалявам,ho sento,sorry,pepani,抱歉,抱歉,scusa,oprostite,Promiňte,undskyld,Sorry,bedaŭras,Vabandust,nalulungkot,anteeksi,Pardon,Sorry,Sentímolo,ბოდიში,Es tut uns leid,συγνώμη,માફ,regrèt,hakuri,e kala mai,מצטער,माफ़ कीजिये,thov txim,sajnálom,Fyrirgefðu,ndo,Maaf,tá brón orainn,scusa,ごめんなさい,nuwun,ಕ್ಷಮಿಸಿ,Кешіріңіз,សុំទោស,mumbabarire,죄송합니다,bibore,Кечириңиз,ຂໍ​ໂທດ,paenitet,Atvainojiet,atsiprašau,entschëllegt,жал,miala tsiny,maaf,ക്ഷമിക്കണം,sorry,pouri,दु: ख,уучлаарай,တောင်းပန်ပါတယ်,माफ गर्नुहोस्,Beklager,ଦୁ sorry ଖିତ,بخښنه,متاسف,Przepraszam,desculpa,ਮਾਫ ਕਰਨਾ,scuze,Прости,malie,duilich,извињавам се,masoabi,ndine hurombo,افسوس,සමාවන්න,Prepáč,žal mi je,ka xumahay,lo siento,punten,pole,förlåt,Узр,மன்னிக்கவும்,гафу итегез,క్షమించండి,ขอโทษ,afedersiniz,Bagyşlaň,вибачте,معذرت,كەچۈرۈڭ,Kechirasiz,lấy làm tiếc,Mae'n ddrwg,uxolo,נעבעכדיק,binu,sorry
star,ster,yll,ኮከብ,نجمة,աստղ,ulduz,izar,зорка,তারকা,zvijezda,звезда,estrella,nga bitoon,nyenyezi,星,星,stella,zvijezda,hvězda,stjerne,ster,stelo,täht,bituin,tähti,étoile,stjer,estrela,ვარსკვლავი,Stern,αστέρι,તારો,zetwal,star,hōkū,כוכב,तारा,lub hnub qub,csillag,Stjörnu,kpakpando,bintang,réalta,stella,星,lintang,ಸ್ಟಾರ್,жұлдыз,តារា,inyenyeri,별,stêrk,жылдыз,ດາວ,stella,zvaigzne,žvaigždė,Stär,ѕвезда,kintana,bintang,നക്ഷത്രം,stilla,whetu,तारा,од,ကြယ်,तारा,stjerne,ତାରା,ستوری,ستاره,gwiazda,Estrela,ਤਾਰਾ,stea,звезда,fetu,rionnag,Звезда,naleli,nyeredzi,تارو,තරු,hviezda,zvezda,xiddiga,estrella,bentang,nyota,stjärna,ситора,நட்சத்திர,йолдыз,స్టార్,ดาว,yıldız,ýyldyz,зірка,ستارہ,star,yulduz,ngôi sao,seren,inkwenkwezi,שטערן,star,inkanyezi
sun,son,diell,ፀሐይ,شمس,արեւ,günəş,eguzkia,сонца,সূর্য,sunce,слънце,sol,adlaw,dzuwa,太阳,太陽,sole,sunce,slunce,sol,zon,sunon,päike,araw,aurinko,Soleil,sinne,sol,მზე,Sonne,ήλιος,સૂર્ય,solèy,rãnã,lā,שמש,रवि,hnub,nap,Sól,anyanwụ,matahari,ghrian,sole,太陽,sun,ಸೂರ್ಯನ,күн,ព្រះអាទិត្យ,izuba,태양,tav,күн,ດວງອາທິດ,solis,saule,saulė,Sonn,сонцето,masoandro,matahari,സൂര്യൻ,xemx,ra,सूर्य,нар,နေ,सूर्य,sol,ସୂର୍ଯ୍ୟ,لمر,آفتاب,słońce,dom,ਸੂਰਜ,soare,солнце,la,ghrian,сунце,letsatsi,zuva,سج,හිරු,slnko,sonce,qorraxdu,sol,panonpoé,jua,Sol,офтоб,சூரியன்,кояш,సూర్యుడు,ดวงอาทิตย์,Güneş,gün,сонце,سورج,قۇياش,quyosh,mặt trời,haul,ilanga,זון,oorun,ilanga
water,water,ujë,ውሃ,ماء,ջուր,su,ur,вада,পানি,voda,вода,aigua,sa tubig,madzi,水,水,acqua,voda,voda,vand,water,akvo,vesi,tubig,vesi,eau,wetter,auga,წყლის,Wasser,νερό,પાણી,dlo,ruwa,wai,מַיִם,पानी,dej,víz,Vatn,mmiri,air,uisce,acqua,水,banyu,ನೀರು,су,ទឹក,amazi,물,av,суу,ນ້ໍາ,aqua,ūdens,vanduo,Waasser,вода,rano,air,വെള്ളം,ilma,wai,पाणी,ус,ရေ,पानी,vann,ଜଳ,اوبه,اب,woda,agua,ਪਾਣੀ,apă,вода,vai,uisge,вода,metsi,mvura,پاڻي,ජලය,voda,voda,biyaha,agua,cai,maji,vatten,об,நீர்,су,నీటి,น้ำ,Su,suw,вода,پانی,water,suv,Nước,dŵr,amanzi,וואַסער,omi,amanzi
white,wit,e bardhë,ነጭ,أبيض,ճերմակ,ağ,Zuri-,белы,সাদা,bijel,бял,blanc,puti nga,woyera,白色,白色,biancu,bijela,bílý,hvid,wit,blanka,valge,puti,valkoinen,blanc,Wyt,Blanco,თეთრი,Weiß,άσπρο,સફેદ,blan,fari,keʻokeʻo,לבן,सफेद,dawb,fehér,Hvítur,ọcha,putih,bán,bianca,白,putih,ಬಿಳಿ,ақ,ស,cyera,하얀,spî,Ак,ສີຂາວ,alba,balts,baltas,wäiss,бела,fotsy,putih,വെളുത്ത,abjad,ma,पांढरा,цагаан,အဖြူ,सेतो,hvit,ଧଳା,سپین,سفید,biały,branco,ਚਿੱਟਾ,alb,белый,lanu paʻepaʻe,geal,бео,tšoeu,chena,اڇو,සුදු,biely,bela,white,blanco,bodas,nyeupe,vit,сафед,வெள்ளை,белый,తెలుపు,ขาว,beyaz,ak,білий,سفید,ئاق,oq rang,trắng,gwyn,mhlophe,ווייַס,funfun,emhlophe
wife,vrou,grua,ሚስት,زوجة,կին,arvad,emaztea,жонка,স্ত্রী,supruga,съпруга,dona,asawa,mkazi,妻子,妻子,moglia,žena,manželka,kone,vrouw,edzino,naine,asawa,vaimo,femme,frou,esposa,ცოლი,Ehefrau,γυναίκα,પત્ની,madanm,matar,wahine,אישה,पत्नी,tus poj niam,feleség,Kona,nwunye,istri,bean chéile,moglie,妻,bojo,ಪತ್ನಿ,әйел,ប្រពន្ធ,umugore,아내,jin,аялы,ພັນລະຍາ,uxorem,sieva,žmona,Fra,жена,vady,isteri,ഭാര്യ,mara,wahine,पत्नी,эхнэр,ဇနီး,पत्नी,kone,ପତ୍ନୀ,ښځه,زن,żona,esposa,ਪਤਨੀ,soție,жена,ava,bean,жена,mosali oa,mukadzi,زال,බිරිඳ,žena,žena,xaaskiisa,esposa,pamajikan,mke,fru,зан,மனைவி,хатыны,భార్య,ภรรยา,kadın eş,aýaly,дружина,بیوی,ئايالى,rafiqa,người vợ,gwraig,umfazi,פרוי,iyawo,unkosikazi
wolf,wolf,ujk,ተኩላ,الذئب,գայլ,canavar,otso,воўк,নেকড়ে,vuk,вълк,llop,lobo,nkhandwe,狼,狼,lupu,vuk,vlk,ulv,wolf,lupo,hunt,lobo,susi,Loup,wolf,lobo,wolf,Wolf,λύκος,વરુ,bèt nan bwa,kerkẽci,ʻīlio hihiu,זְאֵב,भेड़िया,hma,farkas,Úlfur,wolf,serigala,mac tíre,lupo,狼,wolf,ತೋಳ,қасқыр,ចចក,impyisi,늑대,gur,карышкыр,wolf,lupus,vilks,vilkas,Wollef,волк,amboadia,serigala,ചെന്നായ,lupu,wuruhi,लांडगा,чоно,ဝံပုလွေ,ब्वाँसो,ulv,ଗଧିଆ,لیوه,گرگ,Wilk,Lobo,ਬਘਿਆੜ,lup,волк,luko,madadh-allaidh,вук,phiri,mhumhi,بگھڙ,වෘකයා,vlk,volk,Yeeyi,lobo,ajag,mbwa Mwitu,Varg,гург,ஓநாய்,бүре,తోడేలు,หมาป่า,kurt,möjek,вовк,بھیڑیا,بۆرە,bo'ri,chó sói,Blaidd,Ingcuka,וואָלף,Ikooko,impisi
