Bosnian,Dobro jutro,Laku noc,Sretna Nova godina,Sretan rođendan,volim te,Nedostaješ mi,sretan božić,Hvala ti,beba,snositi,lijep,crn,plava boja,mačka,pas,porodica,otac,prijatelj,muž,svjetlo,ljubav,mjesec,majka,moja ljubav,mir,crven,izvini,zvijezda,sunce,voda,bijel,supruga,vuk
Bulgarian,Добро утро,Лека нощ,Честита Нова Година,Честит Рожден ден,обичам те,липсваш ми,Весела Коледа,Благодаря,бебе,мечка,красив,черно,син,котка,куче,семейство,баща,приятел,съпруг,светлина,обичам,луна,майка,моя любов,мир,червен,съжалявам,звезда,слънце,вода,бял,съпруга,вълк
Catalan,Bon dia,Bona nit,Bon any nou,Per molts anys,T'estimo,Et trobo a faltar,Bon Nadal,Gràcies,nadó,suportar,bonic,negre,blau,gat,gos,família,pare,amic,marit,llum,amor,lluna,mare,amor meu,pau,vermell,ho sento,estrella,sol,aigua,blanc,dona,llop
Cebuano,Maayong buntag,Maayong gabii,Malipayong Bag-ong Tuig,malipayon nga adlaw nga natawhan,gihigugma TIKA,gimingaw ko nimo,maayong Pasko,Salamat,bata,-an,matahum nga,itom,azul,iring,iro,pamilya,amahan,higala,bana,kahayag,nahigugma,bulan,inahan,ang akong gugma,kalinaw,pula nga,sorry,nga bitoon,adlaw,sa tubig,puti nga,asawa,lobo
Chichewa,M'mawa wabwino,Usiku wabwino,Chaka chabwino chatsopano,Tsiku labwino lobadwa,ndimakukondani,ndakusowa,Khrisimasi yabwino,Zikomo,mwana,kudzachitira,kukongola,wakuda,buluu,mphaka,galu,banja,bambo,bwenzi,mwamuna,kuwala,ndimakukondani,mwezi,amayi,wachikondi wanga,mtendere,wofiira,pepani,nyenyezi,dzuwa,madzi,woyera,mkazi,nkhandwe
Chinese Simplified,早上好,晚安,新年快乐,生日快乐,我爱你,我想你,圣诞节快乐,谢谢,宝宝,熊,美丽,黑色,蓝色,猫,狗,家庭,父亲,朋友,丈夫,光,爱,月亮,母亲,我的爱,和平,红,抱歉,星,太阳,水,白色,妻子,狼
Chinese Traditional,早上好,晚安,新年快樂,生日快樂,我愛你,我想你,聖誕節快樂,謝謝,寶寶,熊,美麗,黑色,藍色,貓,狗,家庭,父親,朋友,丈夫,光,愛,月亮,母親,我的愛,和平,紅,抱歉,星,太陽,水,白色,妻子,狼
Corsican,Bonghjornu,Bona notte,Bon annu,Felice Anniversariu,ti tengu caru,mi manchi,bon Natale,Grazie,ciucciu,orsu,bellu,neru,turchinu,cat,cane,famiglia,babbu,amicu,maritu,luce,amore,luna,mamma,amore meiu,pace,rossu,scusa,stella,sole,acqua,biancu,moglia,lupu
Croatian,Dobro jutro,Laku noć,Sretna Nova godina,Sretan rođendan,Volim te,Nedostaješ mi,sretan Božić,Hvala ti,dijete,snositi,lijep,crno,plava,mačka,pas,obitelj,otac,prijatelj,suprug,svjetlo,ljubav,mjesec,majka,moja ljubav,mir,crvena,oprostite,zvijezda,sunce,voda,bijela,žena,vuk
Czech,Dobré ráno,Dobrou noc,Šťastný nový rok,Všechno nejlepší k narozeninám,Miluji tě,chybíš mi,veselé Vánoce,Děkuji,dítě,medvěd,Krásná,Černá,modrý,kočka,Pes,rodina,otec,přítel,manžel,světlo,milovat,měsíc,matka,moje láska,mír,Červené,Promiňte,hvězda,slunce,voda,bílý,manželka,vlk
Danish,God morgen,Godnat,Godt nytår,Tillykke med fødselsdagen,jeg elsker dig,jeg savner dig,glædelig jul,Tak,baby,bjørn,smuk,sort,blå,kat,hund,familie,far,ven,mand,lys,elsker,måne,mor,min elskede,fred,rød,undskyld,stjerne,sol,vand,hvid,kone,ulv
Dutch,Goedemorgen,Goede nacht,Gelukkig nieuwjaar,Fijne verjaardag,ik hou van je,ik mis je,vrolijk kerstfeest,Dank je,baby,beer,mooi,zwart,blauw,kat,hond,familie,vader,vriend,man,licht,liefde,maan,moeder,mijn geliefde,vrede,rood,Sorry,ster,zon,water,wit,vrouw,wolf
Esperanto,Bonan matenon,Bonan nokton,Feliĉan Novjaron,Feliĉan naskiĝtagon,mi amas vin,vi mankas al mi,feliĉan Kristnaskon,Dankon,bebo,toleri,bela,nigra,blua,kato,hundo,familio,patro,amiko,edzo,lumo,love,luno,patrino,mia amo,paco,ruĝa,bedaŭras,stelo,sunon,akvo,blanka,edzino,lupo
Estonian,Tere hommikust,Head ööd,Head uut aastat,Palju õnne sünnipäevaks,Ma armastan sind,ma igatsen sind,häid jõule,Aitäh,laps,kandma,ilus,must,sinine,kass,koer,pere,isa,sõber,abikaasa,valgus,armastus,Kuu,ema,minu armastus,rahu,punane,Vabandust,täht,päike,vesi,valge,naine,hunt
Filipino,Magandang umaga,Magandang gabi,Maligayang Bagong Taon,Maligayang kaarawan,Mahal kita,Miss na kita,Maligayang Pasko,Salamat,sanggol,madala,maganda,itim,bughaw,pusa,aso,pamilya,ama,kaibigan,asawa,liwanag,pag-ibig,buwan,ina,mahal ko,kapayapaan,pula,nalulungkot,bituin,araw,tubig,puti,asawa,lobo
Finnish,Hyvää huomenta,Hyvää yötä,Hyvää uutta vuotta,Hyvää syntymäpäivää,Minä rakastan sinua,Kaipaan sinua,hyvää joulua,Kiitos,vauva,karhu,kaunis,musta,sininen,kissa,koira,perhe,isä,ystävä,aviomies,valo,rakkaus,kuu,äiti,rakkaani,rauha,punainen,anteeksi,tähti,aurinko,vesi,valkoinen,vaimo,susi
French,Bonjour,Bonne nuit,Bonne année,Bon anniversaire,je t'aime,Tu me manques,joyeux Noël,Je vous remercie,bébé,ours,beau,noir,bleu,chat,chien,famille,père,ami,mari,lumière,amour,lune,mère,mon amour,paix,rouge,Pardon,étoile,Soleil,eau,blanc,femme,Loup
Frisian,Goeie moarn,Lekker sliepe,Lokkich nijjier,Lokkige jierdei,ik hâld fan dy,ik mis dy,noflike krystdagen,Dankewol,poppe,bear,moai,Swart,blau,kat,hûn,famylje,heit,freon,man,ljocht,leafde,moanne,mem,myn leafde,frede,read,Sorry,stjer,sinne,wetter,Wyt,frou,wolf
Galician,Bos días,Boas noites,Feliz aninovo,Feliz Aniversario,Quérote,Extráñote,feliz Nadal,Grazas,bebé,soportar,fermoso,negro,azul,gato,can,familia,pai,amiga,home,luz,amor,lúa,nai,meu amor,paz,vermello,Sentímolo,estrela,sol,auga,Blanco,esposa,lobo
Georgian,დილა მშვიდობისა,ღამე მშვიდობისა,გილოცავთ ახალ წელს,გილოცავ დაბადების დღეს,მიყვარხარ,მენატრები,შობას გილოცავთ,გმადლობთ,ბავშვი,დათვი,ლამაზი,შავი,ლურჯი,კატა,ძაღლი,ოჯახის,მამა,მეგობარს,ქმარი,მსუბუქი,მიყვარს,მთვარე,დედა,ჩემი სიყარული,მშვიდობა,red,ბოდიში,ვარსკვლავი,მზე,წყლის,თეთრი,ცოლი,wolf
German,Guten Morgen,Gute Nacht,Frohes neues Jahr,Alles Gute zum Geburtstag,ich liebe dich,ich vermisse dich,Fröhliche Weihnachten,Vielen Dank,Baby,Bär,schön,schwarz,blau,Katze,Hund,Familie,Vater,Freund,Mann,Licht,Liebe,Mond,Mutter,meine Geliebte,Frieden,rot,Es tut uns leid,Stern,Sonne,Wasser,Weiß,Ehefrau,Wolf
Greek,Καλημέρα,ΚΑΛΗΝΥΧΤΑ,Ευτυχισμένο το νέο έτος,Χαρούμενα γενέθλια,Σε αγαπώ,μου λείπεις,καλά Χριστούγεννα,Ευχαριστώ,μωρό,αρκούδα,πανεμορφη,μαύρος,μπλε,Γάτα,σκύλος,οικογένεια,πατέρας,φίλος,σύζυγος,φως,αγάπη,φεγγάρι,μητέρα,αγάπη μου,ειρήνη,το κόκκινο,συγνώμη,αστέρι,ήλιος,νερό,άσπρο,γυναίκα,λύκος
Gujarati,સુપ્રભાત,શુભ રાત્રી,સાલ મુબારક,જન્મદિવસ ની શુભકામના,હું તને પ્રેમ કરું છુ,હું તમને યાદ કરું છું,મેરી ક્રિસમસ,આભાર,બાળક,રીંછ,સુંદર,કાળા,વાદળી,બિલાડી,કૂતરો,કુટુંબ,પિતા,મિત્ર,પતિ,પ્રકાશ,પ્રેમ,ચંદ્ર,માતા,મારા પ્રેમ,શાંતિ,લાલ,માફ,તારો,સૂર્ય,પાણી,સફેદ,પત્ની,વરુ
Haitian Creole,Bonjou,Bòn nwi,Happy New Year,Bòn Fèt,Mwen renmen ou,ou manke m,Jwaye Nwel,Mèsi,ti bebe,pote,bèl,nwa,ble,chat,chen,fanmi,papa,zanmi,mari,limyè,renmen,lalin,manman,renmen m ',lapè,wouj,regrèt,zetwal,solèy,dlo,blan,madanm,bèt nan bwa
Hausa,Barka da safiya,Good dare,Barka da sabon shekara,Barka da ranar haihuwa,Ina son ka,I miss you,Merry Kirsimeti,na gode,baby,kai,kyau,baki,blue,cat,kare,iyali,uba,aboki,miji,haske,son,watã,uwar,masoyina,zaman lafiya,ja,hakuri,star,rãnã,ruwa,fari,matar,kerkẽci
Hawaiian,Aloha kakahiaka,Aloha pō,Hauʻoli makahiki hou,Hauʻoli Lā Hānau,aloha wau iā 'oe,haʻi wau iā 'oe,mele Kalikimaka,Mahalo,pēpē,pea,uʻi,eleʻele,polū,pōpoki,ʻīlio,ohana,makuakāne,hoa aloha,kāne,kukui,aloha,mahina,makuahine,kuʻu aloha,maluhia,ulaʻula,e kala mai,hōkū,lā,wai,keʻokeʻo,wahine,ʻīlio hihiu
Hebrew,בוקר טוב,לילה טוב,שנה טובה,יום הולדת שמח,אני אוהב אותך,אני מתגעגע אליך,חג מולד שמח,תודה,תִינוֹק,דוב,יפה,שָׁחוֹר,כָּחוֹל,חתול,כֶּלֶב,מִשׁפָּחָה,אַבָּא,חָבֵר,בַּעַל,אוֹר,אהבה,ירח,אִמָא,אהובי,שָׁלוֹם,אָדוֹם,מצטער,כוכב,שמש,מַיִם,לבן,אישה,זְאֵב
Hindi,शुभ प्रभात,शुभ रात्रि,हैप्पी न्यू ईयर,जन्मदिन की शुभकामनाएं,मैं तुमसे प्यार करता हूँ,मुझे आपकी याद आती है,क्रिसमस की बधाई,धन्यवाद,बच्चा,भालू,सुंदर,काली,नीला,बिल्ली,कुत्ता,परिवार,पिता,दोस्त,पति,रोशनी,मोहब्बत,चांद,मां,मेरा प्यार,शांति,लाल,माफ़ कीजिये,तारा,रवि,पानी,सफेद,पत्नी,भेड़िया
Hmong,Zoo thaum sawv ntxov,Zoo hmo ntuj,Nyob Zoo Xyoo Tshiab,Zoo siab hnub yug,Kuv hlub koj,Kuv nco koj,Zoo siab heev Christmas,Ua tsaug rau koj,tus me nyuam,dais,zoo nkauj,dub,xiav,miv,aub,tsev neeg,txiv,phooj ywg,tus txiv,teeb,hlub,hli,niam,kuv hlub,kev sib haum xeeb,liab,thov txim,lub hnub qub,hnub,dej,dawb,tus poj niam,hma
Hungarian,Jó reggelt,Jó éjszakát,Boldog új évet,Boldog születésnapot,Szeretlek,hiányzol,boldog Karácsonyt,Köszönöm,baba,medve,szép,fekete,kék,cica,kutya,család,apa,barát,férj,fény,szerelem,hold,anya,szerelmem,béke,piros,sajnálom,csillag,nap,víz,fehér,feleség,farkas
Icelandic,Góðan daginn,Góða nótt,Gleðilegt nýtt ár,Til hamingju með afmælið,ég elska þig,ég sakna þín,Gleðileg jól,Þakka þér fyrir,Elskan,Bera,falleg,Svartur,Blár,Köttur,Hundur,Fjölskylda,Faðir,Vinur,Eiginmaður,Ljós,Ást,Tungl,Móðir,Ástin mín,Friður,Rautt,Fyrirgefðu,Stjörnu,Sól,Vatn,Hvítur,Kona,Úlfur
Igbo,Ụtụtụ ọma,Ka chifoo,Ezi afọ ọhụrụ,Ezi ncheta ọmụmụ,a hụrụ m gị n'anya,a na m atụ ụche gị,ezi ekeresimesi,Daalụ,nwa,ibu,mara mma,black,acha anụnụ anụnụ,cat,nkịta,ezinụlọ,nna,enyi,di,ìhè,n'anya,ọnwa,nne,ịhụnanya m,udo,red,ndo,kpakpando,anyanwụ,mmiri,ọcha,nwunye,wolf
Indonesian,Selamat pagi,Selamat malam,Selamat Tahun Baru,Selamat ulang tahun,Aku cinta kamu,aku merindukanmu,Selamat Natal,Terima kasih,bayi,beruang,indah,hitam,biru,kucing,anjing,keluarga,ayah,teman,Suami,cahaya,cinta,bulan,ibu,cintaku,perdamaian,merah,Maaf,bintang,matahari,air,putih,istri,serigala
Irish,Maidin mhaith,Oíche mhaith,Athbhliain faoi mhaise daoibh,Lá breithe shona duit,Is breá liom tú,airím uaim thú,Nollaig Shona,Go raibh maith agat,leanbh,iompróidh,go hálainn,dubh,gorm,cat,madra,teaghlaigh,athair,cara,fear céile,solas,grá,moon,Máthair,Mo grá,síocháin,dearg,tá brón orainn,réalta,ghrian,uisce,bán,bean chéile,mac tíre
Italian,Buongiorno,Buona notte,Felice anno nuovo,Buon compleanno,ti amo,mi manchi,buon Natale,Grazie,bambino,orso,bellissimo,nero,blu,gatto,cane,famiglia,padre,amico,marito,leggero,amore,Luna,madre,il mio amore,pace,rosso,scusa,stella,sole,acqua,bianca,moglie,lupo
Japanese,おはようございます,おやすみ,明けましておめでとうございます,お誕生日おめでとうございます,わたしは、あなたを愛しています,あなたがいなくて寂しいです,メリークリスマス,ありがとうございました,赤ちゃん,くま,綺麗な,黒,青,ネコ,犬,家族,お父さん,友人,夫,光,愛,月,母,私の愛,平和,赤,ごめんなさい,星,太陽,水,白,妻,狼
Javanese,Sugeng enjang,Sugeng dalu,Happy New Year,Sugeng tanggap warsa,Aku tresna sampeyan,aku kangen kowe,Merry Christmas,Matur nuwun,baby,metokake,ayu,ireng,biru,kucing,asu,kulawarga,rama,kanca,bojomu,cahya,tresna,rembulan,ibu,tresnaku,tentrem,abang,nuwun,lintang,sun,banyu,putih,bojo,wolf
Kannada,ಶುಭೋದಯ,ಶುಭ ರಾತ್ರಿ,ಹೊಸ ವರ್ಷದ ಶುಭಾಶಯ,ಜನ್ಮದಿನದ ಶುಭಾಶಯಗಳು,ನಾನು ನಿನ್ನನ್ನು ಪ್ರೀತಿಸುತ್ತೇನೆ,ನಾನು ವಿವೇಕಾನಂದ,ಮೆರ್ರಿ ಕ್ರಿಸ್ಮಸ್,ಧನ್ಯವಾದ,ಬೇಬಿ,ಹೊರಲು,ಸುಂದರ,ಕಪ್ಪು,ನೀಲಿ,ಬೆಕ್ಕು,ನಾಯಿ,ಕುಟುಂಬದ,ತಂದೆ,ಗೆಳತಿ,ಪತಿ,ಬೆಳಕಿನ,ಪ್ರೀತಿ,ಚಂದ್ರನ,ತಾಯಿ,ನನ್ನ ಒಲವೆ,ಶಾಂತಿ,ಕೆಂಪು,ಕ್ಷಮಿಸಿ,ಸ್ಟಾರ್,ಸೂರ್ಯನ,ನೀರು,ಬಿಳಿ,ಪತ್ನಿ,ತೋಳ
Kazakh,Қайырлы таң,Қайырлы түн,Жаңа жыл құтты болсын,Туған күнің құтты болсын,Мен сені жақсы көремін,мен сені сағындым,Рождество құтты болсын,Рақмет сізге,нәресте,аю,әдемі,қара,көк,мысық,ит,отбасы,әке,дос,күйеу,жарық,махаббат,ай,ана,менің махаббатым,бейбітшілік,қызыл,Кешіріңіз,жұлдыз,күн,су,ақ,әйел,қасқыр
Khmer,អរុណ​សួស្តី,រាត្រី​សួស្តី,រីករាយ​ឆ្នាំ​ថ្មី,រីករាយ​ថ្ងៃ​កំណើត,ខ្ញុំ​ស្រលាញ់​អ្នក,ខ្ញុំ​នឹក​អ្នក,រីករាយ​ថ្ងៃ​បុណ្យ​ណូអែល,អរគុណ,ទារក,ទទួលនៅ,ស្រស់ស្អាត,ខ្មៅ,ខៀវ,ឆ្មា,សត្វឆ្កែ,ក្រុមគ្រួសារ,ឪពុក,មិត្តភក្តិ,ប្តី,ពន្លឺ,ស្រឡាញ់,ព្រះ​ច័ន្ទ,ម្តាយ,សំណព្វ,សន្តិភាព,ក្រហម,សុំទោស,តារា,ព្រះអាទិត្យ,ទឹក,ស,ប្រពន្ធ,ចចក
Kinyarwanda,Mwaramutse,Ijoro ryiza,Umwaka mushya muhire,Isabukuru nziza,Ndagukunda,ndagukumbuye,Noheri nziza,Murakoze,umwana,idubu,mwiza,umukara,ubururu,injangwe,imbwa,umuryango,se,inshuti,umugabo,urumuri,urukundo,ukwezi,nyina,urukundo rwanjye,amahoro,umutuku,mumbabarire,inyenyeri,izuba,amazi,cyera,umugore,impyisi
Korean,좋은 아침,안녕히 주무세요,새해 복 많이 받으세요,생일 축하,사랑해,난 당신이 그리워요,메리 크리스마스,고맙습니다,아가,곰,아름다운,검은,푸른,고양이,개,가족,아버지,친구,남편,빛,애정,달,어머니,내 사랑,평화,빨간,죄송합니다,별,태양,물,하얀,아내,늑대
Kurdish (Kurmanji),Beyanî baş,Şev baş,Sersala we pîroz be,Rojbûna te pîroz be,ez ji te hez dikim,ez bîra te dikim,Kirîstmas piroz be,Spas dikim,bebek,hirç,bedew,reş,şîn,pisîk,se,malbat,bav,heval,mêr,sivik,evîn,hêv,dê,Evîna min,aşîtî,sor,bibore,stêrk,tav,av,spî,jin,gur
Kyrgyz,Куттуу таң,Куттуу түн,Жаны жылыңар менен,Туулган кунуңуз менен куттуктайм,Мен сени сүйөм,Мен сени сагындым,Рождество майрамы менен,Рахмат сага,бала,аюу,сулуу,Кара,Көк,мышык,ит,үй-бүлө,Ата,дос,күйөө,жарык,сүйүү,ай,эне,Менин махабатым,тынчтык,Кызыл,Кечириңиз,жылдыз,күн,суу,Ак,аялы,карышкыр
Lao,ສະ​ບາຍ​ດີ​ຕອນ​ເຊົ້າ,ໃນຕອນກາງຄືນທີ່ດີ,ສະ​ບາຍ​ດີ​ປີ​ໃຫມ່,ສຸກ​ສັນ​ວັນ​ເກີດ,ຂ້ອຍ​ຮັກ​ເຈົ້າ,ຂ້ອຍ​ຄິດ​ຮອດ​ເຈົ້າ,Merry ວັນຄຣິດສະມາດ,ຂອບ​ໃຈ,ເດັກນ້ອຍ,ຮັບຜິດຊອບ,ງາມ,ສີດໍາ,ສີນ້ໍາເງິນ,cat,ຫມາ,ຄອບຄົວ,ພຣະບິດາ,ເພື່ອນ,ຜົວ,ແສງສະຫວ່າງ,ຮັກ,ເດືອນ,ແມ່,ທີ່​ຮັກ,ສັນຕິພາບ,ສີແດງ,ຂໍ​ໂທດ,ດາວ,ດວງອາທິດ,ນ້ໍາ,ສີຂາວ,ພັນລະຍາ,wolf
Latin,Bonum mane,bonum nocte,New Anno Felix,Felix natalis,te amo,te desidero,felicem natalem Christi,Gratias tibi,infans,Ursa,pulchram,nigrum,hyacinthum,feles,canis,familia,pater,amicus,virum,lux,diligitis,luna,mater,amica mea,pacem,red,paenitet,stella,solis,aqua,alba,uxorem,lupus
Latvian,Labrīt,Ar labunakti,Laimīgu Jauno gadu,Daudz laimes dzimšanas dienā,Es mīlu Tevi,man tevis pietrūkst,Priecīgus Ziemassvētkus,Paldies,mazulis,paciest,skaists,melns,zils,kaķis,suns,ģimene,tēvs,draugs,vīrs,gaisma,mīlestība,mēness,māte,mana mīlestība,miers,sarkans,Atvainojiet,zvaigzne,saule,ūdens,balts,sieva,vilks
Lithuanian,Labas rytas,Labos nakties,Laimingų Naujųjų metų,Su gimtadieniu,Aš tave myliu,aš tavęs pasiilgau,linksmų Kalėdų,Ačiū,kūdikis,turėti,gražus,juodas,mėlynas,katė,šuo,šeimos,tėvas,draugas,vyras,šviesa,meilė,mėnulis,motina,Mano meilė,taika,raudonas,atsiprašau,žvaigždė,saulė,vanduo,baltas,žmona,vilkas
Luxembourgish,Gudde Moien,Gutt Nuecht,Schéint Neit Joer,Alles Guddes fir de Gebuertsdag,Ech hunn dech gär,ech vermëssen dech,Schéi Chrëschtdeeg,Merci,Puppelchen,droen,schéin,schwaarz,blo,Kaz,Hond,Famill,Papp,Frënd,Mann,Liicht,Léift,Mound,Mamm,meng Léift,Fridden,Rout,entschëllegt,Stär,Sonn,Waasser,wäiss,Fra,Wollef
Macedonian,Добро утро,Добра ноќ,Среќна Нова година,Среќен роденден,Те сакам,ми недостигаш,среќен Божиќ,Ти благодарам,бебе,носат,прекрасна,црна,сина,мачка,куче,семејство,татко,пријател,сопруг,светлина,љубов,месечината,мајка,љубов моја,мир,црвена,жал,ѕвезда,сонцето,вода,бела,жена,волк
Malagasy,Salama,Tafandria mandry,Tratry ny taona,Tratry ny tsingerintaona nahaterahana,tiako ianao,malahelo anao aho,tratry ny krismasy,Misaotra anao,zazakely,hitondra,tsara tarehy,mainty,manga,saka,alika,family,ray,namana,lehilahy,fahazavana,fitiavana,volana,reny,ry tiako,fandriampahalemana,mena,miala tsiny,kintana,masoandro,rano,fotsy,vady,amboadia
Malay,Selamat Pagi,Selamat Malam,Selamat tahun Baru,Selamat Hari lahir,saya sayang awak,saya rindu awak,Selamat Hari Natal,Terima kasih,bayi,menanggung,indah,hitam,biru,kucing,anjing,keluarga,bapa,rakan,suami,cahaya,suka,bulan,ibu,cinta saya,keamanan,merah,maaf,bintang,matahari,air,putih,isteri,serigala
Malayalam,സുപ്രഭാതം,ശുഭ രാത്രി,പുതുവത്സരാശംസകൾ,ജന്മദിനാശംസകൾ,ഞാൻ നിന്നെ സ്നേഹിക്കുന്നു,ഞാന് നിങ്ങളെ വല്ലാതെ നഷ്ടപ്പെടുന്ന പോലെ,സന്തോഷകരമായ ക്രിസ്മസ്,നന്ദി,ശിശു,കരടി,മനോഹരമായ,കറുത്ത,നീല,പൂച്ച,നായ്,കുടുംബം,പിതാവ്,സ്നേഹിതന്,ഭര്ത്താവ്,വെളിച്ചം,സ്നേഹം,ചന്ദ്രൻ,അമ്മ,എന്റെ പ്രണയം,സമാധാനം,ചുവന്ന,ക്ഷമിക്കണം,നക്ഷത്രം,സൂര്യൻ,വെള്ളം,വെളുത്ത,ഭാര്യ,ചെന്നായ
Maltese,Bongu,Il-lejl it-tajjeb,Is-sena it-tajba,happy birthday,I love you,nimmissjak,il-Milied it-tajjeb,Grazzi,tarbija,iġorru,sbieħ,iswed,blu,qattus,kelb,familja,missier,ħabib,raġel,dawl,imħabba,qamar,omm,imħabba tiegħi,paċi,aħmar,sorry,stilla,xemx,ilma,abjad,mara,lupu
Maori,ata pai,po pai,Tau Hou hari,huritau hari,aroha ana ahau ki a koe,mahue ahau a koutou,Merry Christmas,Mauruuru koe,tamaiti,mau,ataahua,pango,puru,ngeru,kuri,whānau,papa,hoa,tane,marama,aroha,marama,whaea,toku aroha,te rongo,whero,pouri,whetu,ra,wai,ma,wahine,wuruhi
Marathi,शुभ प्रभात,शुभ रात्री,नवीन वर्षाच्या शुभेच्छा,वाढदिवसाच्या शुभेच्छा,मी तुझ्यावर प्रेम करतो,मला तुझी आठवण येते,मेरी ख्रिसमस,धन्यवाद,बाळ,सहन,सुंदर,काळा,निळा,मांजर,कुत्रा,कुटुंब,वडील,मित्र,नवरा,प्रकाश,प्रेम,चंद्र,आई,माझे प्रेम,शांतता,लाल,दु: ख,तारा,सूर्य,पाणी,पांढरा,पत्नी,लांडगा
Mongolian,өглөөний мэнд,Сайн шөнө,Шинэ жилийн мэнд хүргэе,Төрсөн өдрийн мэнд,Би чамд хайртай,Би чамайг санаж байна,Merry Christmas,Баярлалаа,хүүхэд,үүрэх,сайхан,хар,хөх,муур,нохой,гэр бүл,аав,найз,нөхөр нь,гэрэл,хайртай,сар,ээж,миний хайр,амар амгалан,улаан,уучлаарай,од,нар,ус,цагаан,эхнэр,чоно
